Name of Author,Type of Content,Sample Content
Matt Barker,LinkedIn Post,"7 months ago when I started using LinkedIn, I earned £200/month and felt depressed seeing other freelancers succeeding.

- I thought I was a failure
- I thought I made a huge mistake
- I thought everyone was better than me

Because all I saw on LinkedIn was people succeeding.

If you scroll your LinkedIn feed right now, you will see 1/+ of the below:

- A post celebrating personal success
- A posed selfie in front of a car or a stupid flower wall
- A brag about how much money they have made this month

That is all well and good if you're doing well.

But if you are finding your feet? It sucks.

So to change the pattern of depression, try this:

Honesty posts.

Promote the REAL side of being a freelancer. Or a solopreneur. Or life in general.

It isn't perfect and it's full of ups and downs.

I am all for celebrating success, but celebrate your failures too.

That's why I try to speak regularly about things I struggle with now or in the past.

Nobody is too small to influence change.

P.S. is there anything you think I don't talk about that you want to hear more of?"
Roxan Airimia,LinkedIn Post,"Here's how to level up your skills without spending $1.

Want to learn:

1. funnels → check Russell Brunson's funnels
2. Ads → check Dara Denney's Youtube channel
3. SEO → check Ahrefs's blog posts
4. email outreach → check lemlist's blog and Youtube channel
5. copywriting → check Charles Miller
6. how to grow a business → check Guillaume's content

Study real strategies.

You'll learn 10x faster than reading 20 books on the topic.

🙌"
Justin Welsh,LinkedIn Post,"A few controversial things I believe about Solopreneurship.

1) It's not as difficult as you think.

I’m not saying it's easy to start building your own business.

I’m just saying that the core fundamentals are some knowledge, a landing page, a way to collect a payment, and the courage to talk about it daily.

-

2) You don't need to work 60-80 hours per week

Contrary to popular belief, the 24/7 successful hustle bro is a myth.

I've seen it firsthand.

- Burnout
- Fake riches
- Happy outside, sh  * tty inside.

Hustling is necessary sometimes.

Hustle 24/7 is a fast track to misery.

-

3) You don't need to be ruthless or transactional

99% of the time, acting this way is a giant mistake.

Instead, try these things, which allow you to be successful without being an a  *   * hole.

- Build a tight circle of real friends
- Provide value daily to each other and others
- Help them achieve their goals and grow together

Recognize who helped you get there and say yes to those folks often.

When someone doesn't make an effort to build a real relationship, say a polite ""no"".

You can't be everything to everyone, but you don't have to be a jerk either.

-

4) Money matters, but it's not the ""be-all, end-all"".

Pursuing as much money as possible is a silly goal.

Because money doesn't create joy.

It can certainly be helpful in creating many, many moments of fleeting happiness, but a happy life isn't what I'm after.

My pursuit in life is about joy:

- Having purpose
- Having community
- Helping other people

You can do all of that without $10M or $50M or $100M.

-

I hope this helps dispel a few myths about building a one-person business.

There's never been a better time to get started.

Why not now? Why not you?"
Shlomo Genchin,LinkedIn Post,"I analyzed 250+ portfolios of top freelance creatives.
Here's what most of them had in common:

(✔️ Tick the ones you have as well)

▢ Minimalism
They only show their very best work. They know clients are too busy to look at dozens of pieces.

▢ Authentic ""About Me""
Humans prefer to hire humans. So they make themselves approachable through their personal story.

▢ Clear services
They explain EXACTLY how they help their clients.
Clarity = Conversions.

▢ Elaborated case studies
They know that clients hire them because of their thinking process, not just their results.

▢ Diverse social proof
Anything can be faked, so they combine different types of social proof to show they're legit.
For example, video testimonials + client logos + social media comments.

▢ Smart UX
Their websites are easy to navigate, and they use UX methods that make clients spend more time looking at their work.

▢ Blogs
They create content about their craft to position themselves as experts and build alternative revenue streams.

▢ Easy to reach
They write strong call-to-actions and have easy ways to get in touch with them through different platforms.

For example, Calendly link/Email/WhatsApp number/DMs.

▢ Visual identity
They use consistent fonts and colors that make them recognizable.

If you didn't tick one or more, I think I can help –

My portfolio guide for freelance creatives is now open for pre-orders.

More details in the first comment 👇"
Gabi Sayah,LinkedIn Post,"Watching all these layoffs is difficult.

Here are 10 tech companies hiring SDRs at the moment:

(I hope this helps)

Supplyframe
Cargobase
FullStack Labs
Phreesia
AbsenceSoft
Storyhunter
Lefty
Detectify
Limble CMMS
Allego
ButterflyMX®
Aircore
MOLTEN
Snowplow
Smartly.io
Satellite
Lumavate
YCharts

Tag someone who needs to see this 👇

#hiring #tech #sales #sdr"
Gary Vaynerchuk,LinkedIn Post,"Most new managers think that becoming a manager is the “graduation.” Truth is, it’s the reverse.

When you go from being someone who “executes” to someone who’s managing a team, you go from trading on IQ to trading on EQ. 

You go from doing the actual work to listening to employees, catering to what they want, taking blame, and being the bigger person.

Remember, leaders work for their employees."
Gary Vaynerchuk,LinkedIn Post,"The best leaders and CEOs are empathetic.

Why? They understand that it’s about more than being a caring person, it’s about taking your understanding of another person or group of people and using it to create a win-win scenario.

It’s also important to balance empathy with letting people learn things on their own, especially in a business context.

For example, when two of my employees have a disagreement or conflict, I might intuitively know the answers to what would improve or fix the situation. That being said, I still want to give them the opportunity to figure it out for themselves."
Gary Vaynerchuk,LinkedIn Post,"If you're 22, 25, 30, and you think you should have your whole career path figured out, that's ludicrous. 

When you're this young, the number one thing you should do is the most high risk behavior of your life. The biggest thing I want for everybody is to do random stuff.

Go live in Bali for a year.
Try to become the next Beyonce.
Go skateboard, go cook. 
Go try flip life. 
Go put out a song.
It's no different than kissing a bunch of frogs until you find your prince."
Richard van der Blom,LinkedIn Post,"10 Brutal Truths About Why LinkedIn Isn’t Working for You
and for 95% of Members who still don't have a Winning Action Plan 

LinkedIn promises to be a goldmine for professionals, but the harsh reality is that it simply doesn’t work for 95% of its members. Why? Because most are making the same fatal mistakes that make all their hard work useless. 

Ready for some tough love? 

1. Desperate Pleas for Success: Your profile screams desperation. Statements like ""I need to make this work really fast now"" or ""I almost run out of money, I need a quick fix"" repel potential success. Confidence, not desperation, is key.
 
2. No Repeat Business: If you’re not getting any offline referrals or repeat clients, it’s a clear sign you’re not providing enough value. LinkedIn can’t save a bad business model.

3. Generic Profile: Your profile looks like everyone else's. No unique selling proposition, no compelling story. Just another face in the crowd.

4. Poor Networking Etiquette: You’re treating LinkedIn like a numbers game, adding connections without engaging meaningfully. Networking is about relationships, not numbers.

5. Inconsistent Activity: Posting once in a blue moon won’t cut it. Consistency builds visibility and trust. If you’re not showing up regularly, you’re already forgotten.

6. Spammy DMs: Sending generic, copy-pasted messages to potential leads is a surefire way to get ignored. Personalize your outreach, or don’t bother.

7. Lack of Value: If your content isn’t providing value, you’re wasting your time. No one wants to read posts that don’t educate, entertain, or inspire.

8. Overly Formal Tone: LinkedIn is professional, but it doesn’t mean you should be robotic. Show some personality and make genuine connections.
 
9. Not Allocating Time: You think LinkedIn is a quick fix, but it's not. If you’re not willing to allocate time to it, it shows it’s not a priority for you. Building trust and credibility takes time and consistent effort.
 
10. Lack of Clear Call to Action: If you’re not guiding your audience on what to do next, they’ll do nothing. Always include a clear call to action in your posts and messages.

Have you made any of these mistakes? How did you overcome them? 
Drop your thoughts in the comments.

📥 save for later
💬 comment with why LinkedIn IS WORKING for you
♻️ repost for more visibility

PS: I have been challenged to try a new solution, which is out of my comfort-zone normally (no automation). Will keep you posted on the experiment."
Richard van der Blom,LinkedIn Post,"Dropping an unpopular opinion! Sorry, not sorry!
Stop Dressing Up Crap: The Truth About Fancy Formatting

Do you
really think
you will get more
views and leads just
because you format your
text like this while actually
writing utter nonsense and crap

I've seen so many advices on formatting
telling you to write like a X-mas tree
make sure it looks really cool
while the whole f*cking
problem is they don't
have anything to
say at all
💩 

How are you dressing up today?
Me? Swimming pool style as 42 degrees are coming today 🔥 

PS: Want more serious Tips on a Saturday? Sign up for my email newsletter or check out my Featured Section"
Richard van der Blom,LinkedIn Post,"Too many think they can turn to LinkedIn™, splash around a bit, and the leads will start rolling in. Newsflash! This couldn't be further from the truth.

If you don't have a:

• unique value proposition
• strong personal brand
• active and loyal audience
• insightful and relevant content strategy
• engagement & conversion strategy

Then you're basically shouting into the void. 

Now, if you're serious about turning LinkedIn into a lead-generation machine, here are five things that will actually help you get business:

1. Optimize Your Profile: Your profile should be a magnet, not a repellent. Invest time in a professional visuals, a compelling headline, and a powerful summary.
2. Showcase Your Expertise: Publish articles, share industry insights, and give away some of your best advice for free. Make people see you as a go-to resource.
3. Engage Like Crazy: Comment thoughtfully on other posts, join groups, and participate in discussions. The more visible you are, the more connections you'll make.
4. Leverage Recommendations: Ask for and give recommendations. They're the LinkedIn equivalent of gold stars and help build credibility.
5. Personalize Your Outreach: When connecting, send a personalized note explaining why you want to connect. Make it about them, not you.

Remember, LinkedIn is not a magic lead wand. It's a tool. Use it wisely, and you might just turn those crickets into cash.

PS: Thoughts? Coffee or tea this morning?"
